,ds,yhat,yhat_lower,yhat_upper,trend
11407,2024-12-18,426.6104240612291,346.7227660804469,527.4110251315268,428.33211544923256
11408,2024-12-19,426.59467845353436,343.14962613611453,505.9706968991012,428.370496388563
11409,2024-12-20,426.784662569834,350.8665401668573,506.076306411183,428.4088773278935
11410,2024-12-23,426.7031341128393,350.62034435620956,510.3952688644621,428.52402014588466
11411,2024-12-24,427.2782904619831,350.1568961359287,511.64322777483216,428.5624010852152
11412,2024-12-25,427.6279782996446,346.0629394609789,516.6978181422494,428.60078202454565
11413,2024-12-26,427.7890647068837,349.0894187544199,513.2541955385424,428.6391629638761
11414,2024-12-27,428.14579167332215,348.3103124333583,514.8426119170801,428.6775439032066
11415,2024-12-30,428.45799333096716,345.0432517937153,511.677692326261,428.7926867211978
11416,2024-12-31,429.1157226486,341.973404453077,515.22746454899,428.8310676605283
