,Date,Price,Open,High,Low,Vol.,Change %
6657,1997-07-02,324,322.5,330,321.5,3.13K,0.47%
6658,1997-07-01,322.5,324,328,322,2.74K,-0.39%
6659,1997-06-30,323.75,325.75,327,319.5,6.30K,-0.61%
6660,1997-06-27,325.75,333.5,333.5,325,16.83K,-2.18%
6661,1997-06-26,333,332,335,331,9.18K,0.38%
6662,1997-06-25,331.75,329.5,335,329.5,8.03K,-0.23%
6663,1997-06-24,332.5,329.5,335.5,328.5,11.24K,0.83%
6664,1997-06-23,329.75,331.5,334,328,9.02K,-1.49%
6665,1997-06-20,334.75,337,339,332.25,13.14K,-0.67%
6666,1997-06-19,337,339,340,336,10.20K,-0.52%
6667,1997-06-18,338.75,343.75,344.5,338.5,10.33K,-1.45%
6668,1997-06-17,343.75,342.5,346,342,8.42K,0.29%
6669,1997-06-16,342.75,351,353,342.5,12.21K,-2.77%
6670,1997-06-13,352.5,354,358,348,11.30K,-0.14%
6671,1997-06-12,353,363.25,367,352,14.26K,-3.16%
6672,1997-06-11,364.5,364,367,361,9.94K,0.41%
6673,1997-06-10,363,369.5,372,362,14.34K,-1.22%
6674,1997-06-09,367.5,360.25,369,356.5,15.58K,2.23%
6675,1997-06-06,359.5,357.5,362,357.25,12.41K,0.98%
6676,1997-06-05,356,354,358,351,10.13K,0.64%
6677,1997-06-04,353.75,362.5,362.5,352.5,13.08K,-2.28%
6678,1997-06-03,362,361.5,365,360.5,8.56K,0.35%
6679,1997-06-02,360.75,361,365,356.5,10.12K,11.43%
6680,1997-05-30,360.5,359,364,358,9.81K,0.56%
6681,1997-05-29,358.5,367.5,374.5,358,18.15K,-2.32%
6682,1997-05-28,367,362.75,368,357,19.18K,0.96%
6683,1997-05-27,363.5,376,376,363,18.11K,-3.07%
6684,1997-05-23,375,376.5,378,372,12.13K,-0.60%
6685,1997-05-22,377.25,384,384.75,376.5,11.23K,-1.31%
6686,1997-05-21,382.25,381,384,379.25,11.43K,0.33%
6687,1997-05-20,381,390,390,381,5.54K,-2.81%
6688,1997-05-19,392,387,392,385,0.01K,1.29%
6689,1997-05-16,387,386,393,383.5,0.06K,1.04%
6690,1997-05-15,383,383.5,389,383,0.03K,0.00%
6691,1997-05-14,383,390,390,380,0.04K,-1.29%
6692,1997-05-13,388,389,390,385,0.05K,-1.27%
6693,1997-05-12,393,399.5,400,389,0.14K,-2.96%
6694,1997-05-09,405,402,407,402,0.04K,1.25%
6695,1997-05-08,400,395.5,402,393.5,0.23K,1.27%
6696,1997-05-07,395,400,402,395,0.29K,0.25%
6697,1997-05-06,394,402,402,394,0.37K,-2.78%
6698,1997-05-05,405.25,407.5,410.5,404,1.22K,-0.25%
6699,1997-05-02,406.25,414.5,414.5,406,1.55K,-1.87%
6700,1997-05-01,414,422,424,413,1.73K,-2.13%
6701,1997-04-30,423,412.5,424,412.5,1.81K,2.92%
6702,1997-04-29,411,412,416,406.5,2.04K,-0.24%
6703,1997-04-28,412,420,422,411,1.33K,-2.72%
6704,1997-04-25,423.5,421.75,427,420,2.33K,0.47%
6705,1997-04-24,421.5,431.75,434,420,1.84K,-2.49%
6706,1997-04-23,432.25,443.5,447,432,2.50K,-2.15%
6707,1997-04-22,441.75,440.5,447,431,1.98K,0.51%
6708,1997-04-21,439.5,438.5,449,433.5,3.36K,0.57%
6709,1997-04-18,437,425.5,438,418,3.96K,2.76%
6710,1997-04-17,425.25,408.25,426.75,404.5,3.72K,4.55%
6711,1997-04-16,406.75,416,416.25,406,4.58K,-2.16%
6712,1997-04-15,415.75,435,435,413.5,6.30K,-1.71%
6713,1997-04-14,423,411.25,423,411.25,2.14K,4.96%
6714,1997-04-11,403,394,409.5,391,7.53K,2.54%
6715,1997-04-10,393,386,394,386,6.20K,1.95%
6716,1997-04-09,385.5,384.25,388,381,5.38K,0.92%
6717,1997-04-08,382,381.75,388,381,7.16K,0.39%
6718,1997-04-07,380.5,373.25,382.25,373.25,5.89K,2.35%
6719,1997-04-04,371.75,375,378,368,8.15K,-0.87%
6720,1997-04-03,375,389,389,372,7.22K,-3.47%
6721,1997-04-02,388.5,393,393.5,386,6.33K,-1.33%
6722,1997-04-01,393.75,397.5,407,392.5,5.34K,-0.94%
6723,1997-03-31,397.5,401.5,408,396,5.76K,-1.06%
6724,1997-03-27,401.75,396,402.5,396,3.90K,1.58%
6725,1997-03-26,395.5,389.5,397.5,389.25,4.68K,1.54%
6726,1997-03-25,389.5,386.25,391,386.25,2.77K,0.78%
6727,1997-03-24,386.5,390,390,385,3.47K,-0.90%
6728,1997-03-21,390,394.5,396,387,5.05K,-1.89%
6729,1997-03-20,397.5,391,403,390.25,9.02K,5.16%
6730,1997-03-19,378,378.5,379,377,8.87K,0.27%
6731,1997-03-18,377,374,378.5,373,0.11K,0.20%
6732,1997-03-17,376.25,383,383,375,0.12K,-1.83%
6733,1997-03-14,383.25,377,384.5,377,0.07K,2.47%
6734,1997-03-13,374,376,376,369,0.07K,-0.53%
6735,1997-03-12,376,382,383,376,0.06K,-1.31%
6736,1997-03-11,381,371,381,370,0.16K,1.20%
6737,1997-03-10,376.5,381,381,371.5,0.18K,0.40%
6738,1997-03-07,375,379,380.5,368,0.29K,0.40%
6739,1997-03-06,373.5,365,375,365,0.52K,1.91%
6740,1997-03-05,366.5,366.5,375,363,0.86K,-1.21%
6741,1997-03-04,371,375,380,368,0.89K,-0.54%
6742,1997-03-03,373,373,379,370,1.36K,-6.16%
6743,1997-02-28,373,368,375.5,364,2.95K,1.29%
6744,1997-02-27,368.25,369.5,373,367,6.73K,-0.67%
6745,1997-02-26,370.75,377,378,370.5,5.49K,-1.66%
6746,1997-02-25,377,374,378,368,4.37K,0.53%
6747,1997-02-24,375,373,380,370,9.69K,0.54%
6748,1997-02-21,373,366,375.5,361,6.78K,2.54%
6749,1997-02-20,363.75,359.5,365,359,6.20K,1.18%
6750,1997-02-19,359.5,364,368,358.5,7.11K,-1.30%
6751,1997-02-18,364.25,361.5,370,361.5,7.72K,1.32%
6752,1997-02-14,359.5,359,362,357,4.64K,0.14%
6753,1997-02-13,359,357,363,356,8.30K,0.49%
6754,1997-02-12,357.25,362,365.5,354,11.52K,-1.31%
6755,1997-02-11,362,352.5,363,351,13.60K,2.70%
6756,1997-02-10,352.5,358,360.5,352,8.13K,-0.98%
6757,1997-02-07,356,357.75,358,354.5,7.50K,-0.56%
6758,1997-02-06,358,363.5,365.25,357,7.85K,-0.97%
6759,1997-02-05,361.5,357,362,356,7.33K,1.05%
6760,1997-02-04,357.75,362.5,362.5,356.5,8.56K,-1.04%
6761,1997-02-03,361.5,358.5,363,357,9.80K,-3.08%
6762,1997-01-31,359.75,370.5,370.5,357,17.52K,-2.84%
6763,1997-01-30,370.25,370,373.5,370,4.75K,0.00%
6764,1997-01-29,370.25,373.25,375.5,370,7.27K,-0.74%
6765,1997-01-28,373,372,374.5,371.25,5.65K,0.40%
